qname	taxonomy	db
924-T11~k141_189395_1	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Lagaffevirus;;Lagaffevirus lagaffe	ICTV
925-T12~NODE_589_length_49817_cov_5.354106_1	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Lagaffevirus;;Lagaffevirus lagaffe	ICTV
922-T9~k141_317099	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Oafivirinae;Burzaovirus;;Burzaovirus faecalis	ICTV
923-T10~k141_167258	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Oafivirinae;Burzaovirus;;Burzaovirus faecalis	ICTV
923-T10~k141_369728	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Uncouvirinae;Birpovirus;;Birpovirus hominis	ICTV
918-T4~NODE_140_length_99392_cov_45.151394	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Carjivirus;;Carjivirus communis	ICTV
917-T1~NODE_120_length_99278_cov_7.117251	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Boorivirinae;Canhaevirus;;Canhaevirus hiberniae	ICTV
918-T11~k141_52369	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Carjivirus;;Carjivirus communis	ICTV
925-T7~NODE_75_length_98684_cov_10.590759	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Uncouvirinae;Aurodevirus;;Aurodevirus hominis	ICTV
923-T4~k141_78445	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Uncouvirinae;Aurodevirus;;Aurodevirus hominis	ICTV
920-T7~k141_17488	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus coli	ICTV
920-T12~k141_58571	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus coli	ICTV
